causality_actor_process_image_path,os_actor_process_image_path,os_actor_process_image_name,action_local_port,action_remote_ip,dst_action_external_hostname,action_remote_port,count_endpoints,is_standard_application,main_domain,main_subdomain,registered_domain
/System/Applications/Photos.app/Contents/MacOS/Photos,/System/Applications/Photos.app/Contents/MacOS/Photos,Photos,51274,17.250.98.71,mediaedge-031.usmia1.me.icloud-content.com,443,1,TRUE,icloud-content.com,mediaedge-031.usmia1.me.icloud-content.com,icloud-content.com
/System/Applications/Photos.app/Contents/MacOS/Photos,/System/Applications/Photos.app/Contents/MacOS/Photos,Photos,50055,17.248.201.38,cvws.icloud-content.com,443,1,TRUE,icloud-content.com,cvws.icloud-content.com,icloud-content.com
/System/Applications/Photos.app/Contents/MacOS/Photos,/System/Applications/Photos.app/Contents/MacOS/Photos,Photos,53,100.100.100.100,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Photos.app/Contents/MacOS/Photos,/System/Applications/Photos.app/Contents/MacOS/Photos,Photos,53,192.168.1.1,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/App Store.app/Contents/MacOS/App Store,/System/Applications/App Store.app/Contents/MacOS/App Store,App Store,54045,23.55.204.23,e673.dsce9.akamaiedge.net,443,1,TRUE,akamaiedge.net,e673.dsce9.akamaiedge.net,akamaiedge.net
/System/Applications/App Store.app/Contents/MacOS/App Store,/System/Applications/App Store.app/Contents/MacOS/App Store,App Store,54041,23.220.132.24,sf-api-token-service.itunes.apple.com,443,1,TRUE,apple.com,sf-api-token-service.itunes.apple.com,apple.com
/System/Applications/App Store.app/Contents/MacOS/App Store,/System/Applications/App Store.app/Contents/MacOS/App Store,App Store,54054,23.220.137.211,xp.apple.com,443,1,TRUE,apple.com,xp.apple.com,apple.com
/System/Applications/App Store.app/Contents/MacOS/App Store,/System/Applications/App Store.app/Contents/MacOS/App Store,App Store,54039,17.8.154.56,entitlements.itunes.apple.com,443,1,TRUE,apple.com,entitlements.itunes.apple.com,apple.com
/System/Applications/App Store.app/Contents/MacOS/App Store,/System/Applications/App Store.app/Contents/MacOS/App Store,App Store,53,192.168.1.1,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/App Store.app/Contents/MacOS/App Store,/System/Applications/App Store.app/Contents/MacOS/App Store,App Store,54050,23.220.137.211,xp.apple.com,443,1,TRUE,apple.com,xp.apple.com,apple.com
/System/Applications/App Store.app/Contents/MacOS/App Store,/System/Applications/App Store.app/Contents/MacOS/App Store,App Store,54028,23.55.204.23,e673.dsce9.akamaiedge.net,443,1,TRUE,akamaiedge.net,e673.dsce9.akamaiedge.net,akamaiedge.net
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,56904,17.36.202.136,buy.itunes.apple.com,443,1,TRUE,apple.com,buy.itunes.apple.com,apple.com
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,63238,2.19.172.70,a1806.dscw154.akamai.net,443,1,TRUE,akamai.net,a1806.dscw154.akamai.net,akamai.net
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,59607,189.216.34.248,se2.itunes.apple.com,443,1,TRUE,apple.com,se2.itunes.apple.com,apple.com
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,50860,2.20.20.26,is1-ssl.mzstatic.com,443,1,TRUE,mzstatic.com,is1-ssl.mzstatic.com,mzstatic.com
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,56503,23.201.216.27,sb.music.apple.com,443,1,TRUE,apple.com,sb.music.apple.com,apple.com
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,53,192.168.15.1,No DNS Record found,53,88,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,53,172.20.0.1,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,57354,17.36.202.137,buy.itunes.apple.com,443,1,TRUE,apple.com,buy.itunes.apple.com,apple.com
/System/Applications/Music.app/Contents/MacOS/Music,/System/Applications/Music.app/Contents/MacOS/Music,Music,50468,184.84.144.26,itunes.apple.com,443,1,TRUE,apple.com,itunes.apple.com,apple.com
